update,policy_loss,value_loss,entropy,imitation_loss,total_loss,batch_size,update_count,rollout_seconds,update_seconds,transitions_per_second
258,0.02683480694476101,0.10210449386310454,2.6096821890936956,0.7918986247645484,0.2101699604342381,2049.0,258.0,7.443550199997844,0.885043999995105,275.13752778890284
259,-0.005791003802894718,1.3250111178883042,2.5115342007742987,0.7959348311026891,0.7907861827148331,2049.0,259.0,6.700320600008126,0.8872631999984151,305.65701587436223
260,0.009797861126975881,0.15499978522226834,2.587436033619775,0.7788462903764513,0.21719265605012575,2049.0,260.0,11.970529800004442,0.758737199997995,171.08683025869414
261,0.02052092218461136,4.20260718702856,2.6631428798039756,0.8212978955772188,2.2594526480469437,2049.0,261.0,18.30062180000823,7.2723298000055365,111.9087658540148
262,-0.02741692675691512,1.4897947886525396,2.6613899866739907,0.7935192684332529,0.8495704229507182,2049.0,262.0,19.84367439999187,2.1413844999915455,103.20669240575924
263,-0.009441256891780844,2.582803111937311,2.646494918399387,0.8038300838735368,1.416261373915606,2049.0,263.0,10.345238900001277,2.780956000002334,197.9654621605449
264,0.002629593066457245,0.09765621418611975,2.7108872334162393,0.7969429194927216,0.18373741933868992,2049.0,264.0,10.416524400003254,0.7718991000001552,196.61068523003317
265,-0.00047185134866999253,8.556271288026538,2.580551948812273,0.7638571444484923,4.404629718926218,2049.0,265.0,13.715607500009355,5.068517699997756,149.31894194249895
266,0.012280055451103382,2.421408154164965,2.583398004372915,0.7480595575438606,1.3467620569798682,2049.0,266.0,17.792303599999286,1.3715177999984007,115.10594951853689
267,0.02763224460391535,0.3629220913539434,2.72846876250373,0.6821934680143992,0.3182472979856862,2049.0,267.0,6.556139699998312,1.0170773999998346,312.378944579312
268,0.00805887057342463,2.4788141190591784,2.624839815828535,0.8417686505450143,1.3895712577634387,2049.0,268.0,15.178799900008016,10.175290200000745,134.92502790019114
269,0.025165538368229236,0.2176973698984107,2.6300385263231068,0.7627233995331658,0.2602585194011529,2049.0,269.0,11.956221799991908,12.983221900009084,171.29156971656263
270,-0.012901923412250148,0.6718280534648026,2.557604478465186,0.7710223082039092,0.45164052293532425,2049.0,270.0,8.193099600001005,1.6820069000095828,249.96644737478215
